Manufacturer,Model,Price,Transmission,Power,Engine CC,Fuel,Male,Female,Unknown,Total
Skoda,Felicia,11.370625,5.0,48.0,1518.0,petrol,31791,13930,1531,47252
Nissan,Almera,22.78208333,4.916666667,81.66666667,1847.666667,petrol,29121,15367,1504,45992
Skoda,Favorit,7.863333333,5.0,44.0,1289.0,petrol,30176,13989,1152,45317
Suzuki,Vitara,26.803,5.428571429,85.71428571,1310.0,petrol,22457,19489,1635,43581
Volvo,940,30.236875,4.5,110.0,2316.0,petrol,30529,7007,2121,39657
Mercedes,E,78.07322727,7.672727273,192.4,2598.818182,petrol,31386,5904,2135,39425
Hyundai,Accent,14.293,4.6,75.4,1479.0,petrol,22426,14225,1099,37750
Volkswagen,Jetta,31.30566667,6.259259259,96.92592593,1587.222222,petrol,26114,9345,1197,36656
Renault,11,11.63114286,4.428571429,47.14285714,1477.0,petrol,22471,12581,1044,36096
Audi,100,37.32636,4.76,101.12,2349.08,petrol,27781,5415,1212,34408
Toyota,Celica,31.5255,5.166666667,109.6666667,1861.833333,petrol,22886,8270,1190,32346
Renault,Espace,59.0,7.0,166.0,1798.0,petrol,23118,7470,1651,32239
Fiat,Brava,17.22277778,4.888888889,70.0,1615.333333,petrol,20597,10550,1076,32223
Volvo,850,36.38445588,4.5,125.7058824,2294.764706,petrol,24932,4973,1959,31864
Toyota,Starlet,11.389,4.142857143,53.0,1308.285714,petrol,12788,17390,1239,31417
Audi,A4,57.92693548,6.161290323,149.7096774,2283.112903,petrol,23564,5352,1721,30637
Mercedes,300,62.39565385,4.384615385,135.5,2972.307692,petrol,23678,5519,1400,30597
Renault,25,22.35277778,4.222222222,80.92592593,1977.259259,petrol,24277,4853,751,29881
Ford,Capri,11.7129,4.0,69.0,1864.8,petrol,23969,4466,449,28884
Daewoo,Nexia,12.47666667,4.666666667,58.66666667,1498.0,petrol,18081,9525,1031,28637
Honda,Prelude,27.78966667,4.666666667,110.6666667,2050.333333,petrol,18656,8742,1165,28563
Toyota,MR2,34.19,6.0,103.0,1794.0,petrol,18195,8804,1025,28024
Volkswagen,Scirocco,33.70615385,6.153846154,120.1538462,1750.615385,petrol,19263,6730,844,26837
Hyundai,Lantra,16.4455,4.666666667,78.0,1741.0,petrol,19341,6168,628,26137
Volvo,460,20.49710714,4.142857143,72.42857143,1824.428571,petrol,18879,6152,1090,26121
Mazda,MX-5,37.46857143,5.857142857,103.4285714,1718.571429,petrol,12752,11374,1697,25823
Suzuki,Swift,19.08518182,3.727272727,68.90909091,1180.545455,petrol,12208,12567,832,25607
Lada,Samara,10.9158,5.0,49.8,1372.4,petrol,18446,6311,511,25268
Mitsubishi,Colt,17.03876744,5.302325581,73.48837209,1374.046512,petrol,11735,12013,925,24673
Honda,Concerto,16.67175,4.5,74.0,1541.5,petrol,15267,6721,992,22980
Toyota,Camry,30.0062,3.2,115.4666667,2245.6,petrol,17090,3470,793,21353
Mitsubishi,Galant,25.08266667,4.533333333,93.6,2127.333333,petrol,16509,3663,633,20805
Ford,Galaxy,53.78571429,6.0,124.8571429,1855.0,diesel,13885,5515,1276,20676
Hyundai,Pony,10.32442857,4.142857143,54.35714286,1463.857143,petrol,12012,8019,555,20586
Ford,Scorpio,30.86290909,4.454545455,105.5454545,2458.909091,petrol,15917,2031,513,18461
Volkswagen,Beetle,33.25025,6.166666667,112.75,1475.0,petrol,10223,6822,538,17583
Kia,Pride,9.358333333,4.333333333,47.0,1324.0,petrol,7946,8940,578,17464
Mitsubishi,Space,23.16515789,3.947368421,82.15789474,1817.315789,petrol,10639,5216,964,16819
Fiat,Tempra,17.91985714,4.19047619,64.47619048,1759.190476,petrol,12630,3694,435,16759
Fiat,Bravo,22.455,6.0,92.30769231,1466.307692,petrol,9933,5636,558,16127
Citroen,XM,36.35965,4.55,110.5,2345.1,petrol,13461,2031,585,16077
