Manufacturer,Model,Price,Transmission,Power,Engine CC,Fuel,Male,Female,Unknown,Total
Ford,Focus,30.61932203,5.966101695,94.03389831,1497.169492,petrol,814172,422731,56487,1293390
Volkswagen,Golf,31.24215385,6.164835165,89.46153846,1537.406593,petrol,483216,310604,47563,841383
Renault,Clio,22.1,5.615384615,75.57692308,1219.653846,petrol,241287,312556,28004,581847
BMW,320i,47.84837037,6.444444444,126.1111111,1995.777778,petrol,408016,115843,29125,552984
Volkswagen,Polo,18.1925,5.074074074,60.96296296,1408.055556,petrol,216333,299110,31701,547144
Peugeot,206,20.03375,4.833333333,71.33333333,1631.5,petrol,178698,250614,26135,455447
Nissan,Micra,20.3776087,4.869565217,67.95652174,1279.695652,petrol,143218,253000,26619,422837
Honda,Civic,29.942625,4.5,106.225,1480.575,petrol,242188,132958,21042,396188
Ford,Ka+,15.46,5.0,60.8,1196.0,petrol,102708,269428,20324,392460
Renault,Megane,26.4498867,5.408866995,87.31034483,1623.793103,petrol,209379,156607,21049,387035
Toyota,Yaris,20.7206,3.52,74.4,1397.8,petrol,137907,214944,27670,380521
Mercedes,CLA,46.5274,7.04,131.6,1596.92,petrol,209476,69373,17242,296091
Audi,A4,57.92693548,6.161290323,149.7096774,2283.112903,petrol,202037,59936,13629,275602
Volkswagen,Passat,46.06451282,6.487179487,125.4358974,1835.846154,petrol,211510,48599,14505,274614
Audi,A3,36.21929825,6.473684211,94.33333333,1424.666667,petrol,144962,97033,14460,256455
Peugeot,307,27.46483636,4.872727273,86.45454545,1723.0,petrol,132728,108991,14395,256114
Peugeot,207,21.70216667,4.9,79.76666667,1536.0,petrol,99472,138839,13442,251753
Citroen,Xsara,22.36209302,4.88372093,72.58139535,1743.44186,petrol,145377,87029,11519,243925
Skoda,Fabia,19.00794118,5.205882353,66.97058824,1292.352941,petrol,109408,87532,10776,207716
BMW,118i,37.4265,6.2,104.2,1796.6,petrol,103719,87660,11806,203185
Land-Rover,Freelander,43.86363077,5.292307692,105.1692308,2083.523077,diesel,118279,59369,9921,187569
Citroen,C3,22.90364865,5.405405405,75.64864865,1364.0,petrol,78551,98254,9893,186698
Toyota,Corolla,27.23911864,3.033898305,91.61016949,1677.949153,petrol,104996,67184,12042,184222
Toyota,Avensis,37.31523077,4.323076923,103.6769231,1873.261538,petrol,123806,29728,9574,163108
Mercedes,E,78.07322727,7.672727273,192.4,2598.818182,petrol,125070,24029,9465,158564
Renault,Scenic,32.06304348,5.956521739,89.34782609,1472.826087,diesel,85989,62467,8346,156802
Seat,Ibiza,19.93814035,5.649122807,76.31578947,1205.192982,petrol,74717,73895,6282,154894
Nissan,Qashqai+2,34.93603125,5.25,97.71875,1820.65625,diesel,79290,56539,8830,144659
Skoda,Octavia,30.65053846,6.346153846,95.0,1136.692308,petrol,110428,25662,6147,142237
Fiat,500L,26.29166667,5.6,74.73333333,1186.333333,diesel,30349,102113,8177,140639
Mercedes,A,31.1045119,4.547619048,93.01190476,1699.119048,petrol,55510,68928,9727,134165
Nissan,Almera,22.78208333,4.916666667,81.66666667,1847.666667,petrol,78034,44706,7892,130632
Citroen,C4,29.26025,5.95,90.625,1462.3625,petrol,79604,42130,5547,127281
Mini,One,24.09525,6.25,68.75,1498.25,petrol,29548,87974,7427,124949
Saab,9-3X,49.28583333,6.0,145.0,1963.666667,petrol,84741,27948,6616,119305
Peugeot,107,11.14333333,5.0,50.0,998.0,petrol,32821,73891,5917,112629
Toyota,Aygo,15.20916667,5.0,53.0,998.0,petrol,33395,66147,7814,107356
Hyundai,I10,16.011,5.0,51.77777778,998.0,petrol,39242,63346,4208,106796
Audi,A6,82.06090909,7.727272727,199.7272727,2790.454545,diesel,85861,15146,5507,106514
Kia,Picanto,16.59192308,5.0,52.84615385,998.0,petrol,36803,64725,3857,105385
Nissan,Note,19.31857143,5.0,66.42857143,1348.285714,diesel,54195,41756,5908,101859
Seat,Leon,32.93965169,6.348314607,114.8202247,1615.370787,petrol,65505,30221,3778,99504
Ford,Fusion,19.37890909,4.863636364,61.27272727,1470.909091,petrol,51517,41027,4395,96939
Honda,Accord,39.39984314,5.784313725,117.7058824,2151.647059,petrol,74157,15889,5274,95320
Mazda,MX-5,37.46857143,5.857142857,103.4285714,1718.571429,petrol,47900,39519,5986,93405
Mazda,6,42.66935185,5.907407407,118.1851852,2095.185185,petrol,71632,17216,4536,93384
Citroen,C1,13.48615385,5.0,52.38461538,1028.923077,petrol,30691,57228,4503,92422
Suzuki,Swift,19.08518182,3.727272727,68.90909091,1180.545455,petrol,34918,49829,6070,90817
Ford,Galaxy,53.78571429,6.0,124.8571429,1855.0,diesel,60515,24893,5151,90559
Peugeot,308,32.33086957,5.891304348,103.1086957,1482.5,petrol,50045,36010,4024,90079
Mazda,3,30.99513158,5.789473684,101.8947368,1905.631579,petrol,52309,32724,4647,89680
Audi,TT,64.59222222,6.777777778,178.5555556,2011.555556,petrol,45707,37950,5714,89371
Renault,Laguna,34.02059211,5.552631579,99.0,1920.026316,diesel,66613,16346,3850,86809
Mazda,2,21.6,6.0,64.625,1496.0,petrol,29852,51314,5032,86198
Fiat,Panda,10.42388889,5.0,52.44444444,1095.777778,petrol,34789,42772,4671,82232
Toyota,Auris,26.97346154,3.076923077,85.69230769,1515.282051,petrol,47251,30032,4747,82030
Peugeot,306,18.64264,4.84,67.0,1698.64,petrol,50801,26596,3897,81294
Peugeot,106,12.35588235,4.647058824,53.88235294,1366.294118,petrol,41148,35920,3722,80790
Volvo,V70,50.96109091,6.181818182,135.2909091,1971.163636,diesel,59903,14323,4431,78657
Citroen,Saxo,12.32981818,4.818181818,53.81818182,1367.272727,petrol,38039,33281,3354,74674
Volkswagen,Touran,32.98557692,6.230769231,94.03846154,1528.807692,diesel,41330,24181,4531,70042
Volkswagen,Beetle,33.25025,6.166666667,112.75,1475.0,petrol,16475,48750,4776,70001
Kia,Rio,22.95871429,6.285714286,80.0,998.0,petrol,36610,28881,2239,67730
Ford,C-MAX,32.1815,6.0,99.0,1448.6,petrol,39067,22899,2336,64302
Nissan,Juke,28.23090909,6.454545455,86.0,999.0,petrol,24663,32045,5707,62415
Suzuki,Vitara,26.803,5.428571429,85.71428571,1310.0,petrol,34682,23094,3559,61335
Kia,Ceed,26.97522727,5.863636364,88.09090909,1460.795455,petrol,37398,20296,1991,59685
Peugeot,406,28.60820513,4.756410256,92.82051282,2043.820513,petrol,46504,9985,2693,59182
Hyundai,Getz,13.63642857,4.714285714,69.0,1424.857143,petrol,24389,31656,2947,58992
Nissan,X-Trail,47.361875,3.75,113.375,1774.8125,diesel,41540,14753,2532,58825
Mercedes,CLK,72.79589474,6.210526316,166.3157895,3041.0,petrol,38415,16438,3538,58391
Volvo,S40,35.28132353,5.176470588,113.3529412,2106.5,petrol,41358,13625,3194,58177
Rover,75,39.35238095,5.0,98.04761905,1928.714286,petrol,46997,8060,2388,57445
Citroen,Berlingo,27.4386,6.34,85.28,1452.0,diesel,37450,16005,2902,56357
Suzuki,Alto,9.5628,4.6,50.0,996.0,petrol,21062,30777,4330,56169
Nissan,Primera,26.51269565,4.02173913,93.58695652,1933.021739,petrol,41096,11421,3286,55803
Hyundai,I20,21.847,6.090909091,70.72727273,1052.272727,petrol,26734,26745,2019,55498
Mercedes,SLK,61.86283333,6.833333333,184.1666667,2748.333333,petrol,24741,25424,3794,53959
Ford,S-MAX,47.52333333,6.0,128.8888889,1886.555556,diesel,31973,17823,2374,52170
Mercedes,ML,77.41666667,7.0,188.3333333,2876.0,diesel,35260,13819,3081,52160
Kia,Sportage,43.97,6.6,115.3,1634.2,diesel,32328,17864,1642,51834
Peugeot,407,38.72769231,5.538461538,114.6538462,2178.192308,diesel,40589,8990,2246,51825
Citroen,C2,15.14,5.0,64.0,1382.75,petrol,21142,27977,2495,51614
Hyundai,I30,28.60918919,5.945945946,100.5945946,1387.621622,petrol,31244,18187,2059,51490
Audi,A1,27.08277108,6.228915663,86.63855422,1377.566265,petrol,17678,29771,2342,49791
Mitsubishi,Colt,17.03876744,5.302325581,73.48837209,1374.046512,petrol,20915,25109,2781,48805
Audi,A5,59.43242424,7.0,150.4545455,1981.818182,petrol,35411,9131,2161,46703
Jaguar,S-Type,66.58842105,5.736842105,172.3157895,2934.631579,petrol,36990,5033,1853,43876
Volvo,V50,36.52419118,5.176470588,113.3529412,2106.5,petrol,29574,11687,2481,43742
Ford,Escort,16.20874359,4.461538462,63.56410256,1650.205128,petrol,31223,10678,1626,43527
Citroen,C5,34.9090566,5.603773585,104.2264151,1805.924528,diesel,33777,6565,1831,42173
Volvo,V40,35.81481651,6.293577982,117.4311927,1921.46789,petrol,28059,10836,2413,41308
Volkswagen,Tiguan,44.30857143,6.714285714,108.0,1663.928571,petrol,23104,14542,1750,39396
Mercedes,B,41.38957143,7.285714286,105.7142857,1545.428571,diesel,19092,15501,2148,36741
Volkswagen,Bora,25.39952941,4.647058824,78.85294118,1891.588235,petrol,26706,7942,1758,36406
Rover,45,23.322,3.75,84.2,1853.9,petrol,25441,8533,1547,35521
Porsche,911,158.7922667,7.466666667,293.5333333,3005.4,petrol,29960,3418,1599,34977
Saab,09-May,52.95719388,5.653061224,146.122449,2031.469388,petrol,26909,5562,1856,34327
Toyota,Celica,31.5255,5.166666667,109.6666667,1861.833333,petrol,23509,8349,1694,33552
Volkswagen,Sharan,45.6995,6.0,114.0,1854.2,diesel,23214,7747,2551,33512
Hyundai,Santa,44.14181818,6.545454545,144.6363636,2242.636364,diesel,22644,9212,1516,33372
Peugeot,208,22.84857143,6.523809524,73.23809524,1241.857143,petrol,13875,17430,1215,32520
Citroen,DS3,23.35964286,5.25,81.28571429,1410.357143,petrol,13057,17367,1231,31655
Renault,Modus,17.82333333,4.666666667,70.33333333,1298.666667,petrol,13701,15260,1747,30708
MG,ZR,21.02333333,5.0,92.33333333,1729.333333,petrol,19477,9964,1264,30705
Chrysler,Voyager,39.70773684,4.842105263,117.5789474,2719.842105,diesel,19359,9318,1712,30389
Kia,Sorento,36.01325,6.0,151.6666667,2048.666667,petrol,20969,7821,907,29697
BMW,Z4,64.109625,6.75,202.125,2778.0,petrol,19343,8462,1748,29553
Rover,2000,17.182,5.0,74.0,1994.0,petrol,17725,10492,1320,29537
Volkswagen,Up,17.065625,5.125,51.375,999.0,petrol,10220,17894,1082,29196
Suzuki,Jimny,25.94322222,4.777777778,67.0,1372.666667,petrol,14101,12767,1973,28841
Porsche,Boxster,83.50125,6.5,213.5,3071.0,petrol,20033,6312,1597,27942
Suzuki,Wagon,9.8628,5.0,50.0,1090.4,petrol,12629,12804,1891,27324
Peugeot,3008,40.98307692,7.307692308,114.2692308,1352.576923,petrol,17213,8974,1071,27258
Mazda,323,17.34364706,4.745098039,70.92156863,1683.607843,petrol,15999,9404,1566,26969
Fiat,Stilo,22.77681818,5.272727273,92.36363636,1837.363636,petrol,15843,8974,1340,26157
Volkswagen,Scirocco,33.70615385,6.153846154,120.1538462,1750.615385,petrol,17313,6728,1072,25113
Seat,Altea,27.13,5.768421053,96.05263158,1774.778947,diesel,14157,9495,999,24651
Volvo,C30,32.4898913,5.304347826,113.2826087,2093.021739,petrol,13551,9639,1421,24611
Hyundai,Accent,14.293,4.6,75.4,1479.0,petrol,13520,8849,1296,23665
Volkswagen,Lupo,13.88308333,4.75,47.75,1373.75,petrol,8828,12512,1320,22660
Mercedes,Sprinter,43.06842105,6.254385965,104.2017544,2222.710526,diesel,18660,2239,1630,22529
Hyundai,Ix35,38.9,5.84,113.84,1926.0,diesel,13708,7991,660,22359
Renault,Kangoo,18.76848837,4.860465116,67.02325581,1391.023256,diesel,13273,7486,1332,22091
Mazda,5,22.12540909,5.5,75.09090909,1622.681818,petrol,12385,8561,1099,22045
Volkswagen,Jetta,31.30566667,6.259259259,96.92592593,1587.222222,petrol,16259,4610,989,21858
Seat,Alhambra,49.82277778,6.0,115.8333333,1746.944444,petrol,14659,5610,1284,21553
Renault,Espace,59.0,7.0,166.0,1798.0,petrol,14370,5657,1245,21272
Suzuki,Ignis,19.45142857,3.571428571,61.0,1197.0,petrol,9623,10103,1499,21225
Suzuki,SX4,20.6695,4.75,88.0,1586.0,petrol,10925,9035,1217,21177
Kia,Carens,31.195,6.0,105.875,1755.75,petrol,13424,6193,866,20483
Audi,Q5,64.50769231,6.846153846,144.2307692,2048.538462,diesel,12761,6588,1044,20393
Mercedes,CLA,46.5274,7.04,131.6,1596.92,petrol,16634,2550,1069,20253
Peugeot,Partner,20.36464286,5.857142857,82.25,1534.392857,diesel,13570,5531,989,20090
Skoda,Yeti,30.351,6.3,83.5,1452.3,petrol,13365,5800,883,20048
Fiat,Seicento,8.17,5.0,40.0,1108.0,petrol,7901,10570,1075,19546
Skoda,Superb,39.725,6.8,110.0,1592.0,petrol,16399,2367,763,19529
Fiat,Bravo,22.455,6.0,92.30769231,1466.307692,petrol,11663,7015,837,19515
BMW,X1,51.44133333,7.2,123.9333333,1863.133333,diesel,10717,7442,1268,19427
Alfa-Romeo,147,25.3433871,5.193548387,95.09677419,1802.774194,petrol,11552,5743,1064,18359
Toyota,MR2,34.19,6.0,103.0,1794.0,petrol,11658,5595,925,18178
MG,TF,32.09,4.0,98.2,1754.4,petrol,10315,6485,930,17730
Volvo,S80,50.94,6.266666667,138.2833333,1986.766667,diesel,14400,2261,963,17624
Volkswagen,Fox,12.49833333,5.0,48.66666667,1336.666667,petrol,6154,10468,995,17617
Mitsubishi,Lancer,23.01661538,4.730769231,90.88461538,1709.538462,petrol,12773,3703,607,17083
Fiat,Doblo,25.17006452,5.516129032,79.30645161,1523.741935,diesel,11730,4440,900,17070
Volkswagen,Eos,42.2862,6.0,113.8,1740.0,petrol,6660,9047,1352,17059
Chrysler,PT,29.88478947,4.736842105,109.1052632,2238.631579,petrol,9477,6366,1029,16872
Hyundai,Matrix,18.513,4.6,76.0,1599.0,petrol,9531,6321,789,16641
Toyota,IQ,17.31777778,3.666666667,58.44444444,1152.888889,petrol,6539,8634,1288,16461
Audi,A2,23.0525,5.0,55.0,1406.0,petrol,7516,7685,1211,16412
BMW,Z3,39.7374,4.6,115.0,2234.4,petrol,9579,5143,969,15691
Volvo,C70,52.19640625,5.3125,126.5,2323.9375,petrol,10078,4642,893,15613
Skoda,Roomster,20.9225,5.375,68.875,1272.4375,petrol,9000,5670,799,15469
Suzuki,Splash,13.1466,4.8,55.4,1144.8,petrol,6376,7977,905,15258
Toyota,Previa,43.08,4.666666667,105.0,2239.666667,petrol,10252,3863,1118,15233
Toyota,Starlet,11.389,4.142857143,53.0,1308.285714,petrol,6266,7546,811,14623
Chevrolet,Aveo,18.615,5.2,69.6,1330.4,petrol,6945,6839,728,14512
Volvo,XC70,58.46907407,6.444444444,148.5185185,2174.037037,diesel,10247,3053,967,14267
Hyundai,Tucson,41.59161538,6.461538462,111.3076923,1624.769231,petrol,9004,4687,571,14262
Subaru,Legacy,37.52210345,3.896551724,107.3793103,2084.37931,petrol,10398,2989,823,14210
Alfa-Romeo,156,32.898125,5.333333333,116.2916667,2081.375,petrol,10882,2428,646,13956
Chevrolet,Spark,11.395,5.0,52.5,1047.75,petrol,5142,7685,744,13571
Chevrolet,Kalos,14.22409091,4.727272727,64.45454545,1353.363636,petrol,6012,6758,769,13539
Mitsubishi,Outlander,37.44666667,2.611111111,120.3333333,2085.055556,petrol,8910,3970,620,13500
Nissan,Pixo,9.465666667,4.666666667,50.0,996.0,petrol,4700,8094,615,13409
Honda,FR-V,33.12857143,5.285714286,103.0,1914.714286,petrol,7167,5292,782,13241
Daihatsu,Sirion,14.333375,4.5625,59.875,1183.25,petrol,5141,7106,739,12986
Kia,Venga,23.58666667,5.25,81.16666667,1509.75,petrol,7343,5303,290,12936
Ford,Streetka,26.0,5.0,70.0,1597.0,petrol,2304,9672,899,12875
Skoda,Felicia,11.370625,5.0,48.0,1518.0,petrol,7729,4375,640,12744
Nissan,Terrano,37.01736842,4.736842105,97.57894737,2697.368421,diesel,9143,3027,569,12739
Mitsubishi,Space,23.16515789,3.947368421,82.15789474,1817.315789,petrol,7314,4690,716,12720
Mitsubishi,Carisma,22.69,4.8,82.2,1773.7,petrol,9003,3084,630,12717
Chevrolet,Lacetti,18.76285714,4.714285714,80.42857143,1612.928571,petrol,8102,3942,666,12710
MG,ZT,42.74666667,5.0,128.5,2548.833333,petrol,10660,1541,405,12606
Mercedes,CLC,42.5595,6.166666667,131.6666667,2313.666667,petrol,6065,5405,737,12207
Land-Rover,Defender,108.7471951,7.853658537,207.6097561,2304.97561,diesel,9293,2167,668,12128
Seat,Arosa,13.70454545,4.818181818,47.45454545,1384.0,petrol,4800,6549,573,11922
Honda,HR-V,32.723,3.6,96.0,1498.0,petrol,6436,4377,715,11528
Daihatsu,Terios,26.19775,4.625,77.0,1495.0,petrol,4903,5230,641,10774
Toyota,Carina,17.44569231,4.692307692,68.26923077,1791.230769,petrol,7738,2453,579,10770
Fiat,Multipla,25.2075,5.0,80.5,1753.0,petrol,6043,3615,636,10294
Skoda,Citigo,12.6825,5.0,45.0,999.0,petrol,3867,4960,404,9231
Suzuki,Liana,18.88233333,4.666666667,74.0,1523.333333,petrol,5205,3467,543,9215
Chevrolet,Captiva,55.62,6.0,145.75,2460.75,petrol,5701,2875,425,9001
Nissan,Pathfinder,60.9552,5.5,146.0,2588.6,diesel,6393,2239,325,8957
Peugeot,205,13.11525,4.75,50.875,1430.75,petrol,5690,2841,412,8943
Saab,900,37.00904545,4.590909091,114.6818182,2208.090909,petrol,6096,2050,608,8754
Ford,B-MAX,22.91875,5.25,75.5,1288.5,petrol,5001,3496,187,8684
Volvo,940,30.236875,4.5,110.0,2316.0,petrol,6659,1547,463,8669
Seat,Toledo,20.37,5.642857143,74.21428571,1324.357143,petrol,6234,2009,371,8614
Hyundai,Ix20,27.4066,6.0,89.0,1552.0,petrol,5033,3351,223,8607
Volvo,850,36.38445588,4.5,125.7058824,2294.764706,petrol,6702,1438,427,8567
Toyota,Verso-S,22.047,3.6,73.0,1329.0,petrol,4955,2986,571,8512
Audi,S3,60.87,6.75,228.0,1984.0,petrol,6675,1345,322,8342
Alfa-Romeo,159,43.26150943,5.905660377,135.3773585,2276.0,diesel,6851,1024,383,8258
Daewoo,Lanos,13.24516667,4.833333333,66.66666667,1506.5,petrol,4259,3305,472,8036
Citroen,C8,45.59125,5.25,104.1666667,2027.833333,petrol,4896,2619,420,7935
Mazda,626,20.7195,4.71875,81.375,1950.90625,petrol,5710,1753,430,7893
Peugeot,807,45.76307692,5.307692308,109.0769231,2053.0,diesel,4829,2435,433,7697
Peugeot,5008,42.50666667,7.142857143,99.52380952,1294.142857,petrol,4563,2622,395,7580
Porsche,Cayman,84.60125,6.5,220.5,3071.0,petrol,5864,1082,362,7308
Chrysler,300C,70.31925,4.5,199.0,4123.5,petrol,6232,767,249,7248
Mercedes,300,62.39565385,4.384615385,135.5,2972.307692,petrol,5685,1175,385,7245
Dacia,Duster,20.75666667,5.666666667,89.33333333,1332.0,petrol,4708,2180,195,7083
Peugeot,1007,18.657,5.0,59.58333333,1407.333333,petrol,3061,3340,417,6818
Peugeot,508,46.85390244,7.707317073,125.0487805,1642.04878,diesel,5657,919,231,6807
Citroen,Xantia,24.84390244,4.756097561,84.92682927,1982.756098,petrol,5246,1192,346,6784
Peugeot,RCZ,38.93888889,6.0,135.5555556,1642.333333,petrol,3218,3135,352,6705
Nissan,350Z,55.4225,6.0,221.0,3498.0,petrol,5649,800,218,6667
Mazda,Demio,14.7754,4.8,51.4,1428.4,petrol,3090,2953,397,6440
Honda,S2000,55.25,6.0,177.0,1997.0,petrol,4891,1201,281,6373
Mercedes,190,36.64326667,4.466666667,88.73333333,2284.133333,petrol,4841,1082,348,6271
Hyundai,Trajet,30.352,4.4,99.0,2117.6,petrol,3984,1926,310,6220
Chevrolet,Tacuma,20.20388889,4.777777778,82.33333333,1775.777778,petrol,3634,2138,390,6162
Alfa-Romeo,GT,37.350625,5.375,121.0625,1972.8125,petrol,4892,989,275,6156
Mazda,Premacy,23.22409091,4.909090909,82.0,1938.0,petrol,3819,1990,340,6149
Citroen,ZX,16.05676923,4.923076923,67.0,1703.153846,petrol,3972,1837,300,6109
Volvo,V60,50.48413043,7.304347826,150.6086957,1969.0,diesel,4321,1290,379,5990
Fiat,Brava,17.22277778,4.888888889,70.0,1615.333333,petrol,3555,2067,364,5986
Audi,S4,95.29916667,6.333333333,253.6666667,3764.333333,petrol,4985,692,214,5891
Dodge,Caliber,26.59125,4.125,108.625,1911.75,petrol,3537,1839,271,5647
Ford,Maverick,29.151,5.0,89.0,2526.5,petrol,4054,1123,246,5423
Rover,Streetwise,20.74,5.0,75.0,1695.0,petrol,3028,2110,282,5420
Rover,CityRover,11.74,5.0,63.0,1405.0,petrol,2351,2603,398,5352
Kia,Cerato,19.895,4.8,94.0,1742.6,petrol,3240,1779,238,5257
Lotus,Elise,53.792,6.0,134.3333333,1730.0,petrol,4463,462,214,5139
Ford,Cougar,32.11766667,4.666666667,115.3333333,2362.0,petrol,3669,933,224,4826
Hyundai,I40,35.535,6.0,93.6,1647.4,diesel,3793,742,139,4674
Chevrolet,Cruze,28.17,5.583333333,103.0,1706.333333,petrol,3389,1045,201,4635
Seat,Exeo,33.8615625,5.375,116.25,1925.25,petrol,3722,659,147,4528
Toyota,Urban,20.21333333,6.0,74.0,1329.0,petrol,2025,2036,296,4357
Seat,Mii,11.917,5.0,49.13333333,999.0,petrol,1693,2445,189,4327
Peugeot,405,20.43008333,4.791666667,69.875,1773.0,petrol,3321,747,148,4216
Abarth,500C,21.105625,5.0,60.625,1039.5,petrol,2305,1697,180,4182
Volkswagen,Transporter,35.37645833,6.0,103.0833333,1968.0,diesel,3063,867,244,4174
Alfa-Romeo,Spider,55.2,6.0,163.5,2696.5,petrol,2897,1027,249,4173
Citroen,DS4,31.1275,5.75,105.25,1688.25,petrol,2709,1292,161,4162
Toyota,Picnic,25.29875,4.5,94.0,1998.0,petrol,2672,1134,301,4107
Mercedes,Viano,57.22905851,5.234042553,120.4255319,2309.340426,diesel,3085,722,260,4067
Fiat,Ulysse,36.70125,4.875,91.75,2019.75,petrol,2732,1092,220,4044
Ford,Sierra,18.2955625,4.875,70.25,1836.5,petrol,3439,405,90,3934
Audi,80,27.09825,4.666666667,91.75,2247.333333,petrol,2934,670,181,3785
Chrysler,Neon,19.71783333,4.0,98.0,1995.0,petrol,2363,1184,225,3772
Hyundai,Terracan,44.62833333,4.333333333,127.6666667,3100.333333,diesel,2805,805,101,3711
Kia,Magentis,28.803,4.8,111.2,2126.8,petrol,2855,663,144,3662
Citroen,AX,10.83275,5.0,45.0,1242.0,petrol,1935,1492,164,3591
Renault,Captur,27.94142857,6.214285714,93.35714286,1235.428571,petrol,1837,1574,65,3476
Mitsubishi,Grandis,30.839,4.6,121.0,2378.0,petrol,2194,1035,224,3453
Chrysler,Crossfire,56.15916667,5.5,174.3333333,3199.0,petrol,2209,1076,162,3447
Honda,CR-Z,27.12333333,6.0,101.0,1497.0,petrol,1979,1241,209,3429
Mercedes,R,88.77777778,7.0,190.0,3377.444444,petrol,2317,857,251,3425
Honda,Stream,27.935,5.0,103.5,1833.0,petrol,2146,1002,267,3415
Fiat,Idea,20.31264706,5.352941176,63.29411765,1344.823529,diesel,1712,1409,222,3343
Honda,Prelude,27.78966667,4.666666667,110.6666667,2050.333333,petrol,2377,809,153,3339
Hyundai,Elantra,19.055,4.6,89.2,1827.8,petrol,2299,743,141,3183
Peugeot,607,48.09553571,5.107142857,117.7857143,2315.0,petrol,2608,406,165,3179
Ssangyong,Rexton,54.2675,5.666666667,114.0,1998.0,diesel,2226,789,148,3163
Volkswagen,CC,46.95322222,6.111111111,126.7777778,1977.166667,diesel,2631,414,81,3126
Mini,Roadster,32.65836364,6.0,101.8181818,1424.727273,petrol,756,1999,221,2976
Peugeot,806,29.57028571,5.0,84.0,1997.142857,diesel,2089,716,170,2975
Saab,9000,41.616,4.6,125.36,2336.52,petrol,2362,400,186,2948
Citroen,Nemo,13.44125,5.0,54.5,1304.0,petrol,1782,991,145,2918
Mitsubishi,Space,23.16515789,3.947368421,82.15789474,1817.315789,petrol,1887,832,174,2893
Hyundai,Sonata,31.7425,4.833333333,119.6666667,2116.0,petrol,2179,530,142,2851
Ford,Capri,11.7129,4.0,69.0,1864.8,petrol,2484,259,52,2795
Fiat,Sedici,21.91166667,4.666666667,88.0,1586.0,petrol,1376,1249,159,2784
Alfa-Romeo,Brera,53.10142857,6.0,163.7142857,2679.285714,petrol,2267,362,129,2758
Porsche,944,59.4905,5.0,137.5,2734.5,petrol,2352,246,104,2702
Seat,Cordoba,17.31241935,4.967741935,66.35483871,1655.741935,petrol,1823,735,137,2695
Citroen,C-Crosser,35.72526667,4.4,121.0,2287.6,petrol,1828,754,111,2693
Audi,Cabriolet,43.9745,4.5,98.0,2309.0,petrol,1873,665,150,2688
Mitsubishi,Galant,25.08266667,4.533333333,93.6,2127.333333,petrol,2096,449,110,2655
Fiat,Qubo,16.695,5.0,54.0,1360.0,petrol,1592,907,129,2628
Volvo,C30,32.4898913,5.304347826,113.2826087,2093.021739,petrol,1354,1067,141,2562
Hyundai,Lantra,16.4455,4.666666667,78.0,1741.0,petrol,1623,711,138,2472
Suzuki,Baleno,17.587,4.083333333,73.08333333,1363.5,petrol,1524,816,132,2472
Volvo,440,20.27896296,4.111111111,72.85185185,1832.888889,petrol,1580,751,126,2457
Peugeot,2008,28.87894737,6.736842105,89.26315789,1262.157895,petrol,1391,967,73,2431
Volvo,S70,36.90769355,4.5,126.1451613,2344.0,petrol,1924,364,110,2398
Toyota,GT86,59.7575,6.0,147.0,1998.0,petrol,1812,422,144,2378
Volkswagen,Caddy,24.75629032,5.709677419,81.74193548,1735.580645,diesel,1576,622,126,2324
Peugeot,4007,42.93428571,3.857142857,122.1428571,2308.285714,petrol,1507,716,96,2319
Mercedes,GLK,59.05425,6.75,144.375,2417.875,diesel,1576,536,174,2286
Toyota,Camry,30.0062,3.2,115.4666667,2245.6,petrol,1757,354,122,2233
Dodge,Nitro,47.881,5.111111111,141.4444444,3106.666667,diesel,1573,552,102,2227
Chrysler,Sebring,37.471875,5.5,114.5,2167.5,petrol,1624,486,102,2212
Kia,Shuma,15.16166667,4.666666667,75.0,1594.0,petrol,1490,595,116,2201
Hyundai,Veloster,27.9925,5.5,103.0,1591.0,petrol,1240,881,58,2179
Nissan,Patrol,38.48247059,4.882352941,90.94117647,2953.588235,diesel,1739,350,88,2177
Peugeot,Expert,21.65952381,5.761904762,90.85714286,1809.714286,diesel,1708,346,105,2159
Renault,Wind,22.49,5.0,80.0,1261.25,petrol,572,1361,127,2060
Skoda,Rapid,20.659,5.633333333,73.0,1284.8,petrol,1558,421,62,2041
Aston-Martin,DB7,158.823,4.5,250.0,3228.0,petrol,1748,170,113,2031
Volkswagen,Corrado,35.34,5.0,118.0,1781.0,petrol,1754,196,80,2030
Fiat,Marea,20.1241875,4.875,79.875,1836.875,petrol,1449,418,102,1969
Nissan,Serena,22.95383333,5.0,67.33333333,1908.166667,petrol,1358,505,100,1963
Mercedes,Vaneo,28.96891667,5.0,72.625,1707.125,petrol,1196,579,172,1947
Daihatsu,Copen,23.8115,5.0,64.0,1298.0,petrol,543,1226,153,1922
Honda,Logo,13.382,2.5,48.0,1343.0,petrol,754,1039,112,1905
Mini,Paceman,37.72247826,6.0,104.2173913,1684.304348,petrol,786,1006,96,1888
Mercedes,Viano,57.22905851,5.234042553,120.4255319,2309.340426,diesel,1398,324,131,1853
Volvo,960,40.7645,4.333333333,133.3333333,2634.222222,petrol,1409,305,103,1817
Mazda,Tribute,38.025,4.5,129.5,2614.0,petrol,1162,536,100,1798
BMW,M135i,57.97,7.0,225.0,1998.0,petrol,1492,217,73,1782
